row_id,user_email,user_full_name,user_phone,user_city,user_status,blood_type,donor_level,last_donation_date,preferred_channel,campaign_name,campaign_city,campaign_start_date,campaign_end_date,appointment_scheduled_at,appointment_status,appointment_location,notification_channel,notification_message,notification_status,notification_sent_at,ticket_id,ticket_subject,ticket_category,ticket_priority,ticket_status,ticket_tag_1,ticket_tag_2,ticket_tag_3,event_type,event_at,message_author_type,message_author_name,message_body,attachment_url,related_type,related_ref
1,user174@mail.com,Maria Bernal,3859696915,Envigado,INACTIVE,A+,GOLD,2026-02-28,EMAIL,Jornada Salvadores de Vida,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000011,No me llegó el recordatorio,ACCOUNT,P2,CLOSED,sms,,,TICKET_STATUS_CHANGED,2026-02-15 20:13:00,SYSTEM,system,Status changed from IN_PROGRESS to CLOSED,,NOTIFICATION,NOTIF-000438
2,user048@mail.com,Sofia Bernal,3109477752,Medellin,ACTIVE,AB-,BRONZE,2025-09-17,EMAIL,Jornada Salvadores de Vida,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000053,Problema con verificación de correo,APPOINTMENTS,P3,OPEN,email,,,TICKET_MESSAGE,2026-02-12 15:01:00,AGENT,Support Lina,¿Puedes confirmar tu número/correo?,,NOTIFICATION,NOTIF-000188
3,user134@mail.com,Maria Ramirez,3152742054,Itagui,ACTIVE,A+,GOLD,2026-02-11,EMAIL,Donacion Consciente - Valle de Aburra,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000059,Me aparece mi cuenta duplicada,CAMPAIGNS,P4,IN_PROGRESS,email,,,TICKET_STATUS_CHANGED,2026-02-17 15:13:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000082
4,user164@mail.com,Santiago Herrera,3715437993,Sabaneta,ACTIVE,A+,SILVER,2025-09-02,EMAIL,Donacion Consciente - Valle de Aburra,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000087,Error al confirmar cita,CAMPAIGNS,P3,OPEN,bug,whatsapp,,TICKET_MESSAGE,2026-02-19 13:12:00,AGENT,Support Lina,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000137
5,user139@mail.com,David Ramirez,3971870728,Sabaneta,INACTIVE,O+,GOLD,2025-12-28,SMS,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000094,Me aparece mi cuenta duplicada,CAMPAIGNS,P2,OPEN,reschedule,ui,,TICKET_MESSAGE,2026-02-11 16:07:00,USER,David Ramirez,"Gracias, quedo atento.",,APPOINTMENT,APPT-000100
6,user166@mail.com,Luisa Herrera,3793564651,Itagui,ACTIVE,A+,GOLD,2026-01-19,WHATSAPP,Semana del Donante - Bogota,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000060,No puedo reprogramar mi cita,OTHER,P1,CLOSED,duplicate,verification,,TICKET_STATUS_CHANGED,2026-02-14 03:21:00,SYSTEM,system,Status changed from IN_PROGRESS to CLOSED,,NOTIFICATION,NOTIF-000120
7,user051@mail.com,Juan Gomez,3812067974,Medellin,ACTIVE,B+,GOLD,2025-11-12,SMS,Donacion Consciente - Valle de Aburra,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000080,El SMS falló,CAMPAIGNS,P2,OPEN,provider,timezone,,TICKET_CREATED,2026-02-15 12:24:00,USER,Juan Gomez,No me funciona desde ayer.,,NOTIFICATION,NOTIF-000050
8,user010@mail.com,Luisa Bernal,3015430391,Medellin,INACTIVE,O-,GOLD,2025-10-03,WHATSAPP,Donacion Consciente - Valle de Aburra,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000072,No me llegó el recordatorio,CAMPAIGNS,P4,IN_PROGRESS,duplicate,sms,timezone,TICKET_STATUS_CHANGED,2026-02-16 17:02:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000266
9,user067@mail.com,Paula Castro,3090974395,Bogota,ACTIVE,B+,GOLD,2026-02-16,SMS,Semana del Donante - Bogota,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000086,No me llegó el recordatorio,CAMPAIGNS,P2,RESOLVED,bug,,,TICKET_STATUS_CHANGED,2026-02-12 12:35:00,SYSTEM,system,Status changed from IN_PROGRESS to RESOLVED,,NOTIFICATION,NOTIF-000044
10,user151@mail.com,Santiago Herrera,3235369378,Bello,ACTIVE,B+,SILVER,2026-02-12,SMS,Jornada Salvadores de Vida,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000074,Problema con verificación de correo,CAMPAIGNS,P4,OPEN,email,,,TICKET_MESSAGE,2026-02-17 04:55:00,AGENT,Support Andres,¿Puedes confirmar tu número/correo?,,APPOINTMENT,APPT-000308
